Relay,Code,ISP,Nips,Version,Price,Link,Events/h,Ping
frysian.nostrich.casa,NL,ZIGGO,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⌛
gitcitadel.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,432ms.
global-relay.cesc.trade,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.23.0,,,0,⛔
greensoul.space,DE,Deutsche Telekom AG,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,2222000,link,1,272ms.
groups.0xchat.com,US,"Amazon.com, Inc.","[1,11,42,70,86,29,9]",khatru,,,0,921ms.
groups.fiatjaf.com,DE,Contabo GmbH,"[1,11,42,70,86,29,9]",khatru,,,0,208ms.
hax.reliefcloud.com,US,Amazon.com,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,400ms.
hayloo.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,21000,link,0,427ms.
hist.nostr.land,FI,Hetzner Online GmbH,[],khatru,,,0,423ms.
history.nostr.watch,NL,"DigitalOcean, LLC","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,0,⛔
hivetalk.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,5,523ms.
hodlbod.coracle.tools,US,"Akamai Technologies, Inc.","[1,11,70]",khatru,,,0,690ms.
hotrightnow.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,445ms.
hub.nostr-relay.app,CA,"Cloudflare, Inc.","[1,2,4,11,13,22,26,28,40,42]",0.0.1,,,100,571ms.
inbox.nostr.wine,CA,"Cloudflare, Inc.","[1,2,4,9,11,40,42]",0.1.4,2500000,link,0,640ms.
irish.nostr.cafe,US,"Amazon.com, Inc.","[1,2,4,9,11,12,15,16,20,22,28,33,40,42,45,50]",0.0.163,,,0,⛔
ithurtswhenip.ee,GB,Cogent Communications,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.22.6,,,366,239ms.
ivy.hnslogin.world,SE,Amazon Technologies Inc.,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,0,⛔
jingle.carlos-cdb.top,US,The Constant Company,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,15,777ms.
junxingwang.org,CA,"Cloudflare, Inc.","[1,2,4,9,11,20,22,28,40,70]",0.9.2-88-g1d206d1ce9f2,,,500,360ms.
kadargo.zw.is,US,Sonic Telecom LLC,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⛔
khatru.nostree.me,CA,"Cloudflare, Inc.","[1,11,42,70,86,9]",khatru,,,0,⛔
kiwibuilders.nostr21.net,NZ,Zappie Host LLC,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,2100000,link,0,1081ms.
kr.purplerelay.com,JP,Amazon Technologies Inc.,"[1,2,4,9,11,12,16,20,22,28,33,40]",v401-1086645,,,29,808ms.
labour.fiatjaf.com,IE,Apex Strata Ltd,"[1,11,42,70,86,9]",labour,,,0,254ms.
ldl.relay.maleniti.com,DE,Contabo GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,21000,link,0,285ms.
libretechsystems.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,10000000,link,0,402ms.
lightningrelay.com,US,IONOS SE,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,6678000,link,3,579ms.
lnbits.btc-payserver.eu,CA,"Cloudflare, Inc.","[1,2,4,9,11,15,16,20,22,28,42]",LNbits,,,0,⛔
lnbits.moizen.xyz,CA,"easyDNS Technologies, Inc.","[1,2,4,9,11,15,16,20,22,28,42]",LNbits,,,0,⛔
lnbits.satoshibox.io,DE,Hetzner Online GmbH,"[1,2,4,9,11,15,16,20,22,28,42]",LNbits,,,0,⛔
lnvoltz.com,CA,"Cloudflare, Inc.","[1,2,4,9,11,15,16,20,22,28,42]",LNbits,,,0,⛔
longhorn.bgp.rodeo,NL,Nick Bouwhuis,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,2,349ms.
lunchbox.sandwich.farm,NL,Choopa,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-26-gc0dec7c,,,0,269ms.
milwaukietalkie.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,467ms.
mleku.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,838ms.
mm.suzuqi.com,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40,42,50]",3.0.1,,,0,⛔
monitorlizard.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,398ms.
moonboi.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,1000000,link,0,765ms.
multiplexer.huszonegy.world,HU,Giganet Internet Szolgaltato Kft,"[1,2,9,11,12,15,16,20,22,33,40]",,,,0,303ms.
n.ok0.org,NZ,The Internet Group,"[1,2,4,9,11,20,22,28,40,70]",0.9.7,,,764,1133ms.
n.wingu.se,US,Multacom Corporation,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,990ms.
n3r.xyz,GB,"Cloudflare, Inc.","[1,4,9,11,40,42,59,65]",chorus 1.5.2,,,4,942ms.
nerostr.girino.org,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,3,848ms.
news.nos.social,US,"DigitalOcean, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,483ms.
nfrelay.app,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,1937,699ms.
niel.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,377ms.
nip05.social,NL,Microsoft Corporation,"[1,2,4,9,11,23,28,42]",0.0.2,,,0,386ms.
njump.me,CA,"Cloudflare, Inc.","[1,11,70]",khatru,,,21,218ms.
nortis.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,2100000,link,0,423ms.
nos.lol,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,500,182ms.
nos.lol.,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,500,235ms.
nos.xmark.cc,DE,Hetzner Online GmbH,"[1,2,9,11,12,16,20,33]",0.1.2,,,1,676ms.
nosflare.plebes.fans,CA,"Cloudflare, Inc.","[1,2,4,5,9,11,12,15,16,17,20,22,33,40]",3.17.14,,,0,193ms.
nostr-01.yakihonne.com,SG,The Constant Company,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-8-g013d611,,,51,809ms.
